,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
188051,"Chester Wilson ""Chet"" Phillips",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
188052,"Chester Wilson ""Chet"" Phillips",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
189635,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
189636,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
189637,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
189638,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
189639,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
189640,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
189641,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
189642,"Arthur Elmer ""Artie"" Pitt",M,22.0,United States,USA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
190532,Paula Phlsen (-Scholz),F,22.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Gold
192390,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
192391,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
192392,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
192393,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
192394,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
192395,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
192396,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
192397,Bohumil Povejil,M,24.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
192680,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
192681,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
192682,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
192683,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
192684,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
192685,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
192686,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
192687,Robert Pranz,M,30.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
193249,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
193250,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
193251,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
193252,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
193253,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
193254,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
193255,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
193256,"Josip ""Joe"" Primoi",M,36.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
193348,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
193349,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
193350,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
193351,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
193352,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
193353,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
193354,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
193355,Janez Pristov,M,29.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
194499,Marta Pustiek,F,19.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
195526,Duica Radivojevi,F,22.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
196142,Olga Rajkovi,F,23.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
198137,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
198138,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
198139,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
198140,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
198141,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
198142,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
198143,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
198144,Leopold Redl,M,29.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
199392,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
199393,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Silver
199394,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
199395,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
199396,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,Silver
199397,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
199398,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
199399,Michael Reusch,M,22.0,Switzerland,SUI,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
200454,Lilian Frances Ridgewell (-Wallis),F,23.0,Great Britain,GBR,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
203858,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
203859,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
203860,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
203861,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
203862,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
203863,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
203864,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
203865,Jos Andr Romersa,M,20.0,Luxembourg,LUX,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
205075,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
205076,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
205077,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
205078,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
205079,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
205080,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
205081,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
205082,Maurice Rousseau,M,29.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
206241,Lidija Rupnik (-ifrer),F,21.0,Yugoslavia,YUG,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
207235,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
207236,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Bronze
207237,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
207238,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
207239,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
207240,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
207241,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
207242,Aleksanteri Saarvala (Schabarin-),M,22.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
210701,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
210702,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
210703,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
210704,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
210705,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
210706,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
210707,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
210708,Istvn Srkny,M,22.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
210724,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
210725,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
210726,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
210727,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
210728,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
210729,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
210730,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
210731,Jzsef Sarls (Starkbauer-),M,27.0,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
211683,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
211684,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Bronze
211685,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
211686,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
211687,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
211688,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
211689,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
211690,Heikki Ilmari Savolainen,M,28.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
212430,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
212431,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
212432,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
212433,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
212434,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
212435,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
212436,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
212437,Adolf Scheffknecht,M,21.0,Austria,AUT,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
212818,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
212819,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
212820,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
212821,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
212822,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
212823,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
212824,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
212825,Antoine Schildwein,M,24.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
213284,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
213285,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
213286,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
213287,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
213288,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
213289,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
213290,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
213291,Iohan Schmidt,M,26.0,Romania,ROU,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
213483,Julie Schmitt (-Knabel),F,23.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Gold
214917,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,Gold
214918,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Gold
214919,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
214920,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,Gold
214921,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
214922,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
214923,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
214924,Karl Alfred Markus Schwarzmann,M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
215539,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
215540,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,Bronze
215541,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
215542,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
215543,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
215544,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
215545,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
215546,Esa Seeste (Serenius-),M,23.0,Finland,FIN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
219424,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
219425,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
219426,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
219427,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
219428,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
219429,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
219430,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
219431,Pando Sidov,M,26.0,Bulgaria,BUL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
219576,Klara Sieroska (-Kostrzew),F,23.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
222240,Janina Skirliska,F,29.0,Poland,POL,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,
222700,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
222701,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
222702,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
222703,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
222704,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
222705,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
222706,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
222707,Jan Sldek,M,29.0,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
224499,Kthe Sohnemann (-Schmidt),F,23.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Women's Team All-Around,Gold
224670,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
224671,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
224672,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
224673,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
224674,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
224675,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
224676,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
224677,Armand Solbach,M,32.0,France,FRA,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
225097,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
225098,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Team All-Around,
225099,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Floor Exercise,
225100,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horse Vault,
225101,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Parallel Bars,
225102,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Horizontal Bar,
225103,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Rings,
225104,Dokan Sone,M,21.0,Japan,JPN,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Pommelled Horse,
227151,"Wilhelm Friedrich ""Willi"" Stadel",M,24.0,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Gymnastics Men's Individual All-Around,
